MagicAnimationTable,itemNumber,isMapOnly,magicAnim,unk06,mapAnim,changeHP,mapFacing,mapColor,unk0F
72,0x4d,0x2,0x28,0x0,0x89a4b24,0x1,0x0,0x0,0x0
73,0x4e,0x2,0x29,0x0,0x89a4b8c,0x1,0x0,0x0,0x0
74,0x4f,0x1,0x2a,0x0,0x89a489c,0x0,0x1,0x0,0x0
75,0x54,0x2,0xfffe,0x0,0x89a5214,0x0,0x0,0x0,0x0
76,0x55,0x2,0xfffe,0x0,0x89a5214,0x0,0x0,0x0,0x0
77,0x50,0x2,0x2c,0x0,0x89a4f44,0x0,0x0,0x0,0x0
78,0x51,0x2,0x2d,0x0,0x89a4ea4,0x0,0x0,0x0,0x0
79,0x52,0x2,0x2e,0x0,0x89a4d64,0x0,0x0,0x0,0x0
80,0x56,0x1,0xfffe,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
81,0x57,0x2,0x2f,0x0,0x89a4fcc,0x0,0x0,0x0,0x0
82,0x53,0x2,0x30,0x0,0x89a4cc4,0x0,0x0,0x0,0x0
83,0x58,0x1,0xfffe,0x0,0x89a4c3c,0x0,0x2,0x0,0x0
84,0x59,0x2,0x31,0x0,0x89a518c,0x0,0x0,0x0,0x0
85,0x64,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
86,0x65,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
87,0x66,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
88,0x67,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
89,0x68,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
90,0x88,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
91,0x8a,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
92,0xc1,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
93,0x97,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
94,0x98,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
95,0x99,0x2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
96,0x6c,0x1,0xfffe,0x0,0x89a49fc,0x1,0x1,0x0,0x0
97,0xa2,0x1,0xfffe,0x0,0x89a49fc,0x1,0x1,0x0,0x0
98,0x6d,0x1,0xfffe,0x0,0x89a49a4,0x1,0x1,0x0,0x0
99,0x6e,0x1,0xfffe,0x0,0x89a495c,0x0,0x1,0x0,0x0
100,0x70,0x1,0xfffe,0x0,0x89a4bf4,0x0,0x1,0x0,0x0
101,0x6f,0x1,0xfffe,0x0,0x89a4914,0x0,0x1,0x0,0x0
102,0x6,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
103,0x7,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
104,0xf,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
105,0x11,0x2,0x1e,0x0,0x0,0x1,0x0,0x0,0x0
106,0x1d,0x2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
107,0xc8,0x2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
108,0x29,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
109,0x3e,0x2,0x35,0x0,0x0,0x1,0x0,0x4,0x0
110,0xb6,0x2,0x1c,0x0,0x0,0x1,0x0,0x4,0x0
111,0x40,0x2,0x33,0x0,0x0,0x1,0x0,0x5,0x0
112,0x43,0x2,0x37,0x0,0x0,0x1,0x0,0x5,0x0
113,0xc9,0x2,0x38,0x0,0x0,0x1,0x0,0x5,0x0
114,0x46,0x2,0x34,0x0,0x0,0x1,0x0,0x1,0x0
115,0xcb,0x2,0x36,0x0,0x0,0x1,0x0,0x1,0x0
116,0xbe,0x2,0x21,0x0,0x0,0x1,0x0,0x5,0x0
117,0x90,0x2,0x47,0x0,0x0,0x1,0x0,0x2,0x0
118,0xca,0x2,0x39,0x0,0x0,0x1,0x0,0x1,0x0
119,0x7d,0x2,0x3a,0x0,0x0,0x0,0x0,0x2,0x0
120,0x7e,0x2,0x3b,0x0,0x0,0x0,0x0,0x4,0x0
121,0x7f,0x2,0x3c,0x0,0x0,0x0,0x0,0x4,0x0
122,0x80,0x2,0x3d,0x0,0x0,0x0,0x0,0x3,0x0
123,0x81,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
124,0x82,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
125,0x83,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
126,0x84,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
127,0xa1,0x2,0x35,0x0,0x0,0x1,0x0,0x4,0x0
128,0x5a,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
129,0xa7,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
130,0xad,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
131,0xae,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
132,0xaf,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
133,0xb0,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
134,0x8b,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
135,0xb1,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
136,0xb2,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
137,0xb3,0x2,0x43,0x0,0x0,0x1,0x0,0x0,0x0
138,0xb4,0x2,0x42,0x0,0x0,0x1,0x0,0x0,0x0
139,0xb5,0x2,0x3e,0x0,0x89a4e04,0x1,0x0,0x0,0x0
140,0xab,0x2,0x45,0x0,0x0,0x1,0x0,0x0,0x0
141,0x87,0x2,0x3f,0x0,0x0,0x1,0x0,0x0,0x0
142,0x4a,0x2,0x41,0x0,0x0,0x1,0x0,0x1,0x0
143,0xac,0x2,0x44,0x0,0x0,0x1,0x0,0x1,0x0
144,0x8f,0x2,0x46,0x0,0x0,0x1,0x0,0x1,0x0
145,0xc,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
146,0x85,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
147,0x78,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
148,0x8d,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
149,0x8e,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
150,0x91,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
151,0x92,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
152,0x93,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
153,0x94,0x2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
154,0x2c,0x2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
155,0x86,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
156,0x8c,0x1,0x2b,0x0,0x89a489c,0x0,0x1,0x0,0x0
157,0xa6,0x2,0xffff,0x0,0x89a481c,0x0,0x0,0x0,0x0
158,0xa8,0x2,0x40,0x0,0x0,0x1,0x0,0x0,0x0
159,0xa9,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
160,0xaa,0x2,0x13,0x0,0x0,0x1,0x0,0x0,0x0
161,0xffff,0x2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
162,0x101,0x500,0x505,0x0,0x10002,0x5,0x5,0x5,0x0
163,0x103,0x500,0x500,0x5,0x5010004,0x5,0x0,0x5,0x0
164,0x5,0x500,0x505,0x5,0x5010106,0x0,0x5,0x0,0x0
165,0x107,0x1,0x5,0x5,0x0,0x0,0x0,0x0,0x0
166,0x32b4,0x81c,0x32a0,0x81c,0x803,0x94,0x32,0x1c,0x8
167,0x3284,0x81c,0x804,0x0,0x81c3278,0x68,0x32,0x1c,0x8
168,0x804,0x0,0x3258,0x81c,0x81c3244,0x3,0x8,0x0,0x0
169,0x1,0x0,0x0,0x0,0x0,0x2,0x0,0x0,0x0
170,0x0,0x0,0x0,0x0,0x81c322c,0x18,0x32,0x1c,0x8
171,0x603,0x0,0x31f8,0x81c,0x81c31e4,0x3,0x6,0x0,0x0
172,0x2,0x0,0x0,0x0,0x0,0xd4,0x31,0x1c,0x8
173,0x31c4,0x81c,0x804,0x0,0x81c31ac,0x9c,0x31,0x1c,0x8
174,0x604,0x0,0x318c,0x81c,0x81c3178,0x3,0x8,0x0,0x0
175,0x2,0x0,0x0,0x0,0x0,0x68,0x31,0x1c,0x8
176,0x3158,0x81c,0x804,0x0,0x81c3144,0x34,0x31,0x1c,0x8
177,0x803,0x0,0x3124,0x81c,0x81c3110,0x3,0x8,0x0,0x0
178,0x2,0x0,0x0,0x0,0x0,0x0,0x31,0x1c,0x8
179,0x30f0,0x81c,0x804,0x0,0x81c30e0,0xcc,0x30,0x1c,0x8
180,0x803,0x0,0x30b8,0x81c,0x81c309c,0x4,0x7,0x0,0x0
181,0x2,0x0,0x0,0x0,0x0,0x90,0x30,0x1c,0x8
182,0x3084,0x81c,0x804,0x0,0x81c307c,0x6c,0x30,0x1c,0x8
183,0x804,0x0,0x2,0x0,0x0,0x0,0x0,0x0,0x0
184,0x3058,0x81c,0x3048,0x81c,0x804,0x38,0x30,0x1c,0x8
185,0x3014,0x81c,0x703,0x0,0x2,0x0,0x0,0x0,0x0
186,0x0,0x0,0x3000,0x81c,0x81c2fc4,0x3,0x5,0x0,0x0
187,0x2fb0,0x81c,0x2fa0,0x81c,0x804,0x8c,0x2f,0x1c,0x8
188,0x2f6c,0x81c,0x703,0x0,0x2,0x0,0x0,0x0,0x0
189,0x0,0x0,0x2f58,0x81c,0x81c2f48,0x4,0x8,0x0,0x0
190,0x2f3c,0x81c,0x2f20,0x81c,0x704,0x10,0x2f,0x1c,0x8
191,0x2ef4,0x81c,0x703,0x0,0x2,0x0,0x0,0x0,0x0
192,0x0,0x0,0x2ee0,0x81c,0x81c2ed0,0x3,0x8,0x0,0x0
193,0x2ebc,0x81c,0x2eb0,0x81c,0x804,0x2,0x0,0x0,0x0
194,0x0,0x0,0x0,0x0,0x81c2ea0,0x4c,0x2e,0x1c,0x8
195,0x403,0x0,0x0,0x0,0x81c2e08,0x3,0x4,0x0,0x0
196,0x2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
197,0x2dc8,0x81c,0x403,0x0,0x0,0x84,0x2d,0x1c,0x8
198,0x403,0x0,0x0,0x0,0x81c2d58,0x3,0x5,0x0,0x0
199,0x2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0
200,0x2d44,0x81c,0x701,0x0,0x0,0xcc,0x2c,0x1c,0x8
201,0x3,0x0,0x0,0x0,0x81c2c4c,0x3,0x0,0x0,0x0
202,0x0,0x0,0x2bd4,0x81c,0x3,0x2,0x0,0x0,0x0
203,0x0,0x0,0x0,0x0,0x81c32c8,0x1,0x0,0x2,0x3
204,0x504,0x600,0x0,0x0,0x1,0x10,0x0,0x9,0x0
205,0x13,0x13,0x9,0x13,0x90013,0xff,0xff,0xb,0x0
206,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
207,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
208,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
209,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
210,0x424,0x0,0x424,0x0,0x1600160,0x7,0x1,0x0,0x0
211,0x0,0x0,0x0,0x0,0xffff0000,0x0,0x0,0x1,0x1
212,0x1a2,0x19d,0x3,0xff00,0x1d00,0xcc,0x32,0x1c,0x8
213,0x1,0x302,0x508,0x900,0x10000,0x1,0x0,0x0,0x0
214,0x10,0x9,0x13,0xf,0x130009,0xf,0x0,0xff,0xff
215,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
216,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
217,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
218,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
219,0x424,0x0,0x424,0x0,0x424,0x61,0x1,0x61,0x1
220,0x20a,0x0,0x0,0x0,0x0,0x2,0x0,0xff,0xff
221,0x0,0x1,0x1a3,0x19f,0xff000000,0x0,0x18,0x0,0x0
222,0x32d0,0x81c,0x1,0x302,0xc00050b,0x0,0x0,0x2,0x0
223,0x1,0x0,0x224,0x9,0xf0013,0x9,0x0,0x13,0x0
224,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
225,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
226,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
227,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
228,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
229,0x162,0x162,0x30d,0x0,0x0,0x0,0x0,0x0,0x0
230,0x4,0xffff,0x0,0x101,0x19e01a4,0x1,0x0,0x0,0xff
231,0x300,0x0,0x32d4,0x81c,0x100f000e,0x11,0x12,0x0,0x13
232,0x0,0x3,0xa08,0x500,0x90224,0x13,0x0,0xf,0x0
233,0x9,0x13,0xf,0xffff,0xbffff,0xff,0xff,0xff,0xff
234,0x519,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
235,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
236,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
237,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
238,0x424,0x0,0x163,0x163,0x414,0x0,0x0,0x0,0x0
239,0x0,0x0,0x6,0xffff,0x1010000,0xa5,0x1,0xa1,0x1
240,0x0,0xff00,0x2800,0x0,0x81c32d8,0x1,0x0,0x2,0x3
241,0x515,0x1600,0x0,0x4,0x1,0x34,0x2,0x9,0x0
242,0x13,0xf,0x9,0x13,0xffff000f,0xff,0xff,0xb,0x0
243,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
244,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
245,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
246,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
247,0x424,0x0,0x424,0x0,0x1640164,0x17,0x5,0x0,0x0
248,0x0,0x0,0x0,0x0,0xffff0008,0x0,0x0,0x1,0x0
249,0x1a6,0x19e,0x1,0xff00,0x1800,0xdc,0x32,0x1c,0x8
250,0x18,0x1a19,0x1c1b,0x1d00,0x50000,0x1,0x0,0x0,0x0
251,0x32,0xb,0x13,0xf,0x13000b,0xf,0x0,0xff,0xff
252,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
253,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
254,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
255,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
256,0x424,0x0,0x424,0x0,0x424,0x65,0x1,0x65,0x1
257,0x61e,0x0,0x0,0x0,0x0,0xa,0x0,0xff,0xff
258,0x0,0x101,0x1a8,0x1a1,0xff000000,0x0,0xc,0x0,0x0
259,0x32e0,0x81c,0xe,0x100f,0x2000121f,0x0,0x0,0x6,0x0
260,0xa08,0x600,0x234,0x9,0xf0013,0x9,0x0,0x13,0x0
261,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
262,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
263,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
264,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
265,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
266,0x166,0x166,0x721,0x0,0x0,0x0,0x0,0x0,0x0
267,0xa,0xffff,0x0,0x101,0x19d01a7,0x3,0x0,0x0,0xff
268,0x500,0x0,0x32e4,0x81c,0x3020001,0x22,0x0,0x0,0x23
269,0x3,0x7,0x808,0x0,0x110234,0x18,0x0,0x11,0x0
270,0x11,0x18,0x11,0xffff,0xbffff,0xff,0xff,0xff,0xff
271,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
272,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
273,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
274,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
275,0x424,0x0,0x167,0x167,0x824,0x0,0x0,0x0,0x0
276,0x0,0x0,0xc,0xffff,0x1010000,0xa9,0x1,0x9d,0x1
277,0x3,0xff00,0x1a00,0x0,0x81c32e8,0x1,0x0,0x2,0x3
278,0x525,0x2600,0x0,0x8,0x1008,0x34,0x2,0x9,0x0
279,0x13,0xf,0x9,0x13,0xffff000f,0xff,0xff,0xb,0x0
280,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
281,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
282,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
283,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
284,0x424,0x0,0x424,0x0,0x1680168,0x27,0x9,0x0,0x0
285,0x0,0x0,0x0,0x0,0xffff000e,0x0,0x0,0x1,0x1
286,0x1aa,0x19f,0x0,0xff00,0x1800,0xec,0x32,0x1c,0x8
287,0x18,0x1a19,0x1c28,0x2900,0x90000,0x11,0x11,0x0,0x0
288,0x234,0x9,0x13,0xf,0x130009,0xf,0x0,0xff,0xff
289,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
290,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
291,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
292,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
293,0x424,0x0,0x424,0x0,0x424,0x69,0x1,0x69,0x1
294,0xa2a,0x0,0x0,0x0,0x0,0x10,0x0,0xff,0xff
295,0x0,0x1,0x1ab,0x1a1,0xff000000,0x0,0xc,0x0,0x0
296,0x32f0,0x81c,0xe,0x100f,0x2c00122b,0x0,0x0,0xa,0x0
297,0x414,0x600,0x234,0xa,0xf0014,0xa,0x0,0x14,0x0
298,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
299,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
300,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
301,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
302,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
303,0x16a,0x16a,0xb2d,0x0,0x0,0x0,0x0,0x0,0x0
304,0x12,0xffff,0x0,0x101,0x19e01ac,0x1,0x0,0x0,0xff
305,0x700,0x0,0x32f4,0x81c,0x302f002e,0x31,0x0,0x0,0x32
306,0x0,0xb,0xf08,0x1200,0xa0234,0x14,0x0,0xf,0x0
307,0xa,0x14,0xf,0xffff,0xbffff,0xff,0xff,0xff,0xff
308,0x532,0x505,0x605,0x606,0x7070706,0x7,0x8,0x8,0x8
309,0x8,0x64,0x64,0x64,0x500064,0x50,0x0,0x50,0x0
310,0x50,0x3c,0x3c,0x3c,0x28003c,0x28,0x0,0x28,0x0
311,0x28,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
312,0x424,0x0,0x16b,0x16b,0xc33,0x0,0x0,0x0,0x0
313,0x0,0x0,0x14,0xffff,0x1010000,0xad,0x1,0x9f,0x1
314,0x0,0xff00,0x1d00,0x0,0x81c32f8,0x2e,0x0,0x34,0x30
315,0x35,0x3600,0x0,0xc,0x12001608,0x34,0x2,0xa,0x0
316,0x14,0xf,0xa,0x14,0xffff000f,0xff,0xff,0xb,0x0
317,0xffff,0xffff,0x532,0x505,0x6060605,0x6,0x7,0x7,0x7
318,0x807,0x808,0x8,0x64,0x640064,0x64,0x0,0x50,0x0
319,0x50,0x50,0x50,0x3c,0x3c003c,0x3c,0x0,0x28,0x0
320,0x28,0x28,0x28,0x0,0x424,0x24,0x4,0x0,0x0
321,0x424,0x0,0x424,0x0,0x16c016c,0x37,0xd,0x0,0x0
322,0x0,0x0,0x0,0x0,0xffff0018,0x0,0x0,0x1,0x0
323,0x1af,0x19e,0x1,0xff00,0x1d00,0xfc,0x32,0x1c,0x8
324,0x1,0x338,0x539,0x3a00,0xd0000,0x8,0x8,0x0,0x0
325,0x234,0xa,0x14,0xf,0x14000a,0xf,0x0,0xff,0xff
326,0xffff,0xb,0xffff,0xffff,0x5050532,0x5,0x6,0x6,0x6
327,0x706,0x707,0x807,0x808,0x640008,0x64,0x0,0x64,0x0
328,0x64,0x50,0x50,0x50,0x3c0050,0x3c,0x0,0x3c,0x0
329,0x3c,0x28,0x28,0x28,0x28,0x24,0x4,0x0,0x0
330,0x424,0x0,0x424,0x0,0x424,0x6d,0x1,0x6d,0x1
331,0xe3b,0x0,0x0,0x0,0x0,0x1a,0x0,0xff,0xff
332,0x0,0x101,0x1b0,0x19c,0xff000c02,0x0,0x18,0x0,0x0
333,0x3300,0x81c,0x3c,0x3e3d,0x4000003f,0x0,0x0,0xe,0x0
334,0x1,0xc00,0x234,0xa,0xf0014,0xa,0x0,0x14,0x0
335,0xf,0xffff,0xffff,0xb,0xffffffff,0x32,0x5,0x5,0x5
336,0x605,0x606,0x706,0x707,0x8080807,0x8,0x0,0x64,0x0
337,0x64,0x64,0x64,0x50,0x500050,0x50,0x0,0x3c,0x0
338,0x3c,0x3c,0x3c,0x28,0x280028,0x28,0x0,0x0,0x0
339,0x424,0x0,0x424,0x0,0x424,0x24,0x4,0x0,0x0
